timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-23T10:59:55Z,bangi-backend-mariadb-1,7.21%,105.3MiB / 160MiB,65.83%,251MB / 2.98MB,6.18MB / 1.29GB,11
2026-03-23T11:00:03Z,agitated_black,0.91%,22.21MiB / 7.655GiB,0.28%,106kB / 127kB,0B / 0B,17
2026-03-23T11:00:03Z,bangi-backend-backend-1,0.01%,52.57MiB / 160MiB,32.86%,176kB / 210kB,0B / 61.4kB,4
2026-03-23T11:00:03Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:03Z,bangi-backend-mariadb-1,101.12%,105.7MiB / 160MiB,66.04%,251MB / 2.98MB,8.64MB / 1.29GB,11
2026-03-23T11:00:11Z,agitated_black,0.80%,22.29MiB / 7.655GiB,0.28%,108kB / 133kB,0B / 0B,17
2026-03-23T11:00:11Z,bangi-backend-backend-1,0.01%,52.57MiB / 160MiB,32.86%,185kB / 212kB,0B / 61.4kB,4
2026-03-23T11:00:11Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:11Z,bangi-backend-mariadb-1,107.39%,105.9MiB / 160MiB,66.17%,251MB / 2.98MB,8.9MB / 1.29GB,11
2026-03-23T11:00:18Z,agitated_black,0.91%,23.36MiB / 7.655GiB,0.30%,109kB / 139kB,0B / 0B,17
2026-03-23T11:00:18Z,bangi-backend-backend-1,0.01%,52.57MiB / 160MiB,32.86%,190kB / 214kB,0B / 61.4kB,4
2026-03-23T11:00:18Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:18Z,bangi-backend-mariadb-1,100.32%,105.8MiB / 160MiB,66.11%,251MB / 2.98MB,9.3MB / 1.29GB,11
2026-03-23T11:00:25Z,agitated_black,0.87%,22.71MiB / 7.655GiB,0.29%,111kB / 145kB,0B / 0B,17
2026-03-23T11:00:25Z,bangi-backend-backend-1,0.01%,52.57MiB / 160MiB,32.86%,195kB / 215kB,0B / 61.4kB,4
2026-03-23T11:00:25Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:25Z,bangi-backend-mariadb-1,101.01%,105.6MiB / 160MiB,66.00%,251MB / 2.98MB,9.56MB / 1.29GB,11
2026-03-23T11:00:33Z,agitated_black,0.84%,31.95MiB / 7.655GiB,0.41%,114kB / 151kB,0B / 0B,17
2026-03-23T11:00:33Z,bangi-backend-backend-1,0.01%,51.29MiB / 160MiB,32.06%,201kB / 218kB,205kB / 61.4kB,4
2026-03-23T11:00:33Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:33Z,bangi-backend-mariadb-1,105.38%,105.8MiB / 160MiB,66.09%,251MB / 2.98MB,9.95MB / 1.29GB,11
2026-03-23T11:00:41Z,agitated_black,0.75%,32MiB / 7.655GiB,0.41%,116kB / 157kB,0B / 0B,17
2026-03-23T11:00:41Z,bangi-backend-backend-1,0.01%,51.29MiB / 160MiB,32.06%,205kB / 219kB,205kB / 61.4kB,4
2026-03-23T11:00:41Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
